start_date,end_date,finished,condition,subject,gender,age,mood_pre,mood_post,STAI_pre_1_1,STAI_pre_1_2,STAI_pre_1_3,STAI_pre_1_4,STAI_pre_1_5,STAI_pre_1_6,STAI_pre_1_7,STAI_pre_2_1,STAI_pre_2_2,STAI_pre_2_3,STAI_pre_2_4,STAI_pre_2_5,STAI_pre_2_6,STAI_pre_2_7,STAI_pre_3_1,STAI_pre_3_2,STAI_pre_3_3,STAI_pre_3_4,STAI_pre_3_5,STAI_pre_3_6,STAI_post_1_1,STAI_post_1_2,STAI_post_1_3,STAI_post_1_4,STAI_post_1_5,STAI_post_1_6,STAI_post_1_7,STAI_post_2_1,STAI_post_2_2,STAI_post_2_3,STAI_post_2_4,STAI_post_2_5,STAI_post_2_6,STAI_post_2_7,STAI_post_3_1,STAI_post_3_2,STAI_post_3_3,STAI_post_3_4,STAI_post_3_5,STAI_post_3_6,moral_dilemma_dog,moral_dilemma_wallet,moral_dilemma_plane,moral_dilemma_resume,moral_dilemma_kitten,moral_dilemma_trolley,moral_dilemma_control,presentation_experience,presentation_unpleasant,presentation_fun,presentation_challenge,PBC_1,PBC_2,PBC_3,PBC_4,PBC_5,REI_1,REI_2,REI_3,REI_4,REI_5,REI_6,REI_7,REI_8,REI_9,REI_10,REI_11,REI_12,REI_13,REI_14,REI_15,REI_16,REI_17,REI_18,REI_19,REI_20,REI_21,REI_22,REI_23,REI_24,REI_25,REI_26,REI_27,REI_28,REI_29,REI_30,REI_31,REI_32,REI_33,REI_34,REI_35,REI_36,REI_37,REI_38,REI_39,REI_40,MAIA_1_1,MAIA_1_2,MAIA_1_3,MAIA_1_4,MAIA_1_5,MAIA_1_6,MAIA_1_7,MAIA_1_8,MAIA_1_9,MAIA_1_10,MAIA_1_11,MAIA_1_12,MAIA_1_13,MAIA_1_14,MAIA_1_15,MAIA_1_16,MAIA_2_1,MAIA_2_2,MAIA_2_3,MAIA_2_4,MAIA_2_5,MAIA_2_6,MAIA_2_7,MAIA_2_8,MAIA_2_9,MAIA_2_10,MAIA_2_11,MAIA_2_12,MAIA_2_13,MAIA_2_14,MAIA_2_15,MAIA_2_16,STAI_pre,STAI_post,MAIA_noticing,MAIA_not_distracting,MAIA_not_worrying,MAIA_attention_regulation,MAIA_emotional_awareness,MAIA_self_regulation,MAIA_body_listening,MAIA_trusting,PBC,REI_rational_ability,REI_rational_engagement,REI_experiental_ability,REI_experiental_engagement,moral_judgment,moral_judgment_disgust,moral_judgment_non_disgust,presentation_evaluation,logbook,exclude
11/3/2014,11/3/2014,1,stress,18,female,19,55,57,2,3,1,1,2,1,1,3,1,2,3,1,1,2,2,2,1,1,2,2,2,2,2,1,3,3,1,3,1,3,3,1,2,2,3,4,1,2,3,3,8,7,9,5,8,2,7,2,82,7,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.571428571428570,8.333333333333330,4.666666666666670,3,NA,0
11/3/2014,11/3/2014,1,stress,14,female,18,53,38,1,2,2,2,2,1,1,3,1,3,3,2,1,1,2,2,1,1,2,2,3,2,2,2,3,2,1,2,1,3,3,1,1,1,3,3,2,1,3,3,7,9,6,9,9,4,8,2,82,18,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.428571428571430,7.333333333333330,7.333333333333330,3,NA,0
11/3/2014,11/3/2014,1,control,12,female,18,67,NA,2,2,2,1,2,2,2,2,1,3,3,1,1,2,3,2,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,8,7,5,8,NA,NA,NA,NA,4,2,4,3,4,2,2,4,2,3,2,3,2,4,2,2,3,4,3,3,3,4,4,2,3,3,2,4,2,3,4,4,3,3,4,2,3,4,4,2,3,2,3,2,3,1,4,4,3,3,2,2,5,3,2,4,2,3,2,4,3,3,2,4,3,3,3,2,2,2,3,4,2,2,2,3,3,39,NA,12,7,10,21,15,9,8,8,17,27,32,28,30,7.857142857142860,8.333333333333330,7.333333333333330,NA,NA,0
11/3/2014,11/3/2014,1,stress,17,female,18,79,59,1,1,2,1,2,1,1,4,1,3,3,2,2,3,2,3,1,1,2,2,2,2,1,1,2,1,1,4,1,3,3,2,2,2,3,3,2,1,3,3,9,9,9,9,9,5,3,2,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.571428571428570,9,7.666666666666670,3,NA,0
11/3/2014,11/3/2014,1,control,11,male,18,61,NA,1,1,2,1,2,1,3,3,1,2,2,1,2,1,3,2,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,4,7,6,3,7,NA,NA,NA,NA,2,4,3,3,2,5,2,3,5,4,4,5,3,3,2,5,5,2,3,4,3,5,5,3,2,5,1,3,4,3,3,4,2,4,4,3,4,3,4,2,2,5,4,2,5,1,3,3,3,2,2,2,5,5,4,5,3,5,4,4,4,4,4,3,4,4,5,1,2,1,1,4,3,3,5,5,5,36,NA,10,6,14,29,20,5,10,15,14,44,44,23,29,5.714285714285710,5.333333333333330,5.666666666666670,NA,NA,0
11/3/2014,11/3/2014,1,control,10,female,21,72,NA,2,2,2,2,2,1,2,4,1,4,3,1,1,2,3,3,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,9,8,9,4,6,NA,NA,NA,NA,5,5,2,5,4,2,5,5,5,3,5,3,5,5,5,3,2,4,3,4,NA,NA,NA,NA,NA,4,4,4,3,4,2,3,4,4,4,5,3,4,4,5,4,4,3,4,4,5,5,5,4,3,2,2,4,3,0,1,1,3,4,3,3,2,5,5,1,2,4,2,2,3,2,3,3,3,3,4,4,45,NA,19,7,7,17,17,9,9,11,21,NA,NA,NA,NA,7.428571428571430,8.333333333333330,7,NA,NA,0
11/3/2014,11/3/2014,1,control,8,female,19,59,NA,3,2,2,2,3,1,3,2,1,3,2,1,1,1,3,2,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,7,7,6,2,7,NA,NA,NA,NA,2,2,1,4,2,3,4,4,5,3,4,3,4,4,4,3,3,2,4,3,3,3,5,2,3,2,4,4,2,3,3,4,4,2,4,4,2,3,3,4,3,4,2,3,4,2,4,1,2,3,4,3,3,2,2,1,2,4,2,3,1,3,3,3,2,2,3,1,1,3,2,1,1,2,4,2,3,41,NA,9,10,7,16,13,7,4,9,11,27,36,38,32,5.857142857142860,7,4.333333333333330,NA,NA,0
11/3/2014,11/3/2014,1,stress,15,female,17,70,38,3,2,3,3,3,1,1,3,1,3,3,2,2,2,3,2,2,2,3,3,2,2,2,2,3,1,1,3,1,3,3,1,1,1,2,3,1,1,3,3,9,9,9,8,9,1,6,2,93,5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.285714285714290,9,6,1,NA,0
11/3/2014,11/3/2014,1,control,23,female,23,78,NA,1,1,1,2,1,1,1,3,1,2,2,1,1,2,2,3,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,8,5,8,3,6,NA,NA,NA,NA,4,3,4,4,4,3,4,4,2,2,4,4,4,4,4,2,3,4,4,2,4,3,5,2,4,2,2,4,2,2,4,3,3,4,4,4,2,5,3,4,4,4,2,3,2,4,4,4,4,2,2,2,5,5,3,4,4,3,4,4,3,3,4,4,4,4,4,3,3,3,3,4,3,2,4,4,4,34,NA,16,6,13,25,20,12,9,12,19,24,30,37,40,5.714285714285710,8,3.3333333333333300,NA,NA,0
11/3/2014,11/3/2014,1,control,21,female,18,68,NA,2,4,1,2,3,1,1,2,1,2,3,1,1,1,3,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,8,7,9,6,7,NA,NA,NA,NA,3,1,3,2,3,2,2,2,4,4,2,2,2,3,2,4,4,2,2,3,2,4,5,3,2,4,1,3,2,3,2,4,1,2,4,2,4,2,5,2,1,5,3,2,4,3,2,2,1,3,3,4,3,4,3,1,1,2,1,0,0,2,4,2,3,1,1,1,1,1,3,3,1,1,3,3,2,37,NA,8,10,10,7,11,6,5,8,12,36,37,20,19,7,7.333333333333330,6.666666666666670,NA,NA,0
11/3/2014,11/3/2014,1,stress,25,female,19,60,53,3,2,1,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,1,4,2,1,1,1,2,2,1,2,2,2,9,8,8,8,8,5,5,2,44,65,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.285714285714290,8.333333333333330,7,2,NA,0
11/3/2014,11/3/2014,1,control,26,male,20,73,NA,1,2,2,1,2,2,2,3,2,4,2,2,2,1,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,9,8,9,6,8,NA,NA,NA,NA,2,4,2,5,3,4,4,3,4,5,2,4,2,3,4,3,2,4,4,3,4,4,1,4,3,4,3,4,4,3,2,3,2,4,4,3,1,4,3,3,2,4,4,3,2,2,4,2,2,5,3,2,5,4,4,4,4,3,3,3,4,3,4,2,3,2,4,3,2,1,2,3,2,3,4,3,4,38,NA,10,10,13,24,15,8,8,11,16,36,30,31,32,8.142857142857140,9,7.333333333333330,NA,NA,0
11/3/2014,11/3/2014,1,stress,24,female,20,66,0,3,2,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,4,2,2,2,3,1,1,4,1,3,3,2,2,1,3,4,1,2,3,3,8,3,3,7,8,2,7,2,90,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.428571428571430,6.333333333333330,4,1,NA,0
11/3/2014,11/3/2014,1,control,29,female,22,65,NA,3,2,2,1,3,1,1,2,1,2,1,2,1,1,3,2,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,8,6,9,3,9,NA,NA,NA,NA,4,5,3,4,3,4,4,4,5,5,4,3,3,4,3,4,4,5,4,5,5,3,5,2,4,5,4,5,5,2,2,4,3,5,3,4,3,3,4,4,3,4,4,5,3,2,5,3,2,4,2,3,2,4,3,4,3,5,3,4,2,2,4,4,5,5,4,2,3,4,4,5,3,2,4,4,5,35,NA,12,9,9,23,22,13,10,13,19,39,38,37,41,7.571428571428570,8.666666666666670,6,NA,NA,0
11/3/2014,11/3/2014,1,control,19,male,23,100,NA,2,1,2,2,1,1,1,1,1,1,2,2,2,3,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,9,9,9,5,5,NA,NA,NA,NA,5,5,5,5,5,2,4,3,5,3,5,1,3,3,4,1,2,5,3,1,3,4,4,5,3,4,1,5,1,3,1,3,1,3,5,4,5,2,5,3,2,1,2,2,3,5,5,5,5,2,1,1,6,5,4,5,5,5,4,5,5,5,5,3,5,5,5,5,5,3,5,4,5,3,5,5,5,29,NA,20,4,15,34,23,18,12,15,25,28,32,29,31,7.285714285714290,9,6.333333333333330,NA,NA,0
11/3/2014,11/3/2014,1,stress,22,female,18,13,37,4,3,3,4,3,3,4,4,3,4,4,3,3,4,4,4,3,3,3,4,3,3,2,2,3,3,3,2,1,3,3,2,1,2,3,3,1,3,3,3,9,8,5,8,4,2,8,2,100,15,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.285714285714290,6,6,2,NA,0
11/3/2014,11/3/2014,1,control,20,female,19,65,NA,1,2,1,1,2,2,2,3,1,2,3,1,1,2,1,2,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,8,7,7,3,7,NA,NA,NA,NA,4,2,2,2,1,3,5,4,4,4,3,3,3,3,4,3,4,2,4,4,3,2,4,3,4,4,2,3,3,2,3,3,4,3,3,4,2,3,3,4,3,5,3,4,3,3,1,4,2,3,3,2,3,5,3,4,3,4,4,3,3,3,3,2,4,4,4,3,3,2,3,3,3,3,4,4,4,35,NA,10,8,11,24,17,11,9,12,11,33,32,36,32,6.142857142857140,5.666666666666670,6.333333333333330,NA,NA,0
11/3/2014,11/3/2014,1,stress,28,male,22,53,68,2,2,1,2,2,1,1,3,1,2,3,1,1,1,2,2,1,1,2,3,3,3,2,2,3,2,1,2,1,3,3,1,1,1,3,2,1,1,3,3,2,8,6,7,8,4,9,2,20,84,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.285714285714290,5.333333333333330,6.333333333333330,3,skipped presentation because test leader knew participant,1
